location,date,origin,entries
Rennes les champs libres,2010-12-22,rdc retour,141
Rennes les champs libres,2010-12-23,rdc retour,145
Rennes les champs libres,2010-12-24,rdc retour,64
Rennes les champs libres,2010-12-25,rdc retour,1
Rennes les champs libres,2010-12-26,rdc retour,63
Rennes les champs libres,2010-12-28,rdc retour,199
Rennes les champs libres,2010-12-29,rdc retour,153
Rennes les champs libres,2010-12-30,rdc retour,155
Rennes les champs libres,2010-12-31,rdc retour,72
Rennes les champs libres,2010-05-04,rdc 2,54
Rennes les champs libres,2010-05-05,rdc 2,50
Rennes les champs libres,2010-05-06,rdc 2,27
Rennes les champs libres,2010-05-07,rdc 2,25
Rennes les champs libres,2010-05-11,rdc 2,82
Rennes les champs libres,2010-05-12,rdc 2,46
Rennes les champs libres,2010-05-14,rdc 2,32
Rennes les champs libres,2010-05-15,rdc 2,63
Rennes les champs libres,2010-05-18,rdc 2,42
Rennes les champs libres,2010-05-19,rdc 2,56
Rennes les champs libres,2010-05-20,rdc 2,26
Rennes les champs libres,2010-05-21,rdc 2,27
Rennes les champs libres,2010-05-22,rdc 2,43
Rennes les champs libres,2010-05-25,rdc 2,37
Rennes les champs libres,2010-05-26,rdc 2,49
Rennes les champs libres,2010-05-28,rdc 2,37
Rennes les champs libres,2010-05-29,rdc 2,56
Rennes les champs libres,2010-06-01,rdc 2,26
Rennes les champs libres,2010-06-02,rdc 2,33
Rennes les champs libres,2010-06-03,rdc 2,24
Rennes les champs libres,2010-06-04,rdc 2,24
Rennes les champs libres,2010-06-05,rdc 2,17
Rennes les champs libres,2010-06-08,rdc 2,46
Rennes les champs libres,2010-06-09,rdc 2,36
Rennes les champs libres,2010-06-10,rdc 2,36
Rennes les champs libres,2010-06-11,rdc 2,23
Rennes les champs libres,2010-06-12,rdc 2,27
Rennes les champs libres,2010-06-15,rdc 2,53
Rennes les champs libres,2010-06-16,rdc 2,73
Rennes les champs libres,2010-06-17,rdc 2,31
Rennes les champs libres,2010-06-18,rdc 2,28
Rennes les champs libres,2010-06-19,rdc 2,22
Rennes les champs libres,2010-06-20,rdc 2,1
Rennes les champs libres,2010-06-22,rdc 2,31
Rennes les champs libres,2010-06-23,rdc 2,26
Rennes les champs libres,2010-06-24,rdc 2,2
Rennes les champs libres,2010-06-25,rdc 2,29
Rennes les champs libres,2010-06-26,rdc 2,19
Rennes les champs libres,2010-06-29,rdc 2,28
Rennes les champs libres,2010-06-30,rdc 2,33
Rennes les champs libres,2010-07-01,rdc 2,31
Rennes les champs libres,2010-07-02,rdc 2,29
Rennes les champs libres,2010-07-03,rdc 2,28
Rennes les champs libres,2010-07-06,rdc 2,35
Rennes les champs libres,2010-07-07,rdc 2,29
Rennes les champs libres,2010-07-08,rdc 2,27
Rennes les champs libres,2010-07-09,rdc 2,37
Rennes les champs libres,2010-07-10,rdc 2,13
Rennes les champs libres,2010-07-11,rdc 2,5
Rennes les champs libres,2010-07-13,rdc 2,39
Rennes les champs libres,2010-07-15,rdc 2,39
Rennes les champs libres,2010-07-16,rdc 2,45
Rennes les champs libres,2010-07-17,rdc 2,31
